# Version N Threads Iterations Tolerance Final_Diff Time(s)
2 300 1 221 0.010000 0.009971 145.961589
2 300 2 221 0.010000 0.009971 73.327720
2 300 4 221 0.010000 0.009971 36.608231
2 300 8 221 0.010000 0.009971 18.620737
2 300 16 221 0.010000 0.009971 9.414628
