# Iteration Grid_Size Tolerance Iterations_per_sec Time_per_iteration(s)
155 10 1e-3 315041 3.17419e-06
626 25 1e-3 26319.1 3.79952e-05
1681 50 1e-3 3339.32 0.000299462
2793 75 1e-3 1063.86 0.000939972
3747 100 1e-3 428.814 0.00233202
4410 125 1e-3 185.651 0.00538644
4707 150 1e-3 104.374 0.00958093
4537 200 1e-3 44.6716 0.0223856
4183 250 1e-3 22.0401 0.0453719
3848 300 1e-3 13.1152 0.0762476
