# Version N Threads Iterations Tolerance Final_Diff Time(s)
1 300 1 221 0.010000 0.009971 179.607119
1 300 2 221 0.010000 0.009971 122.577610
1 300 4 221 0.010000 0.009971 93.247101
1 300 8 221 0.010000 0.009971 79.303612
1 300 16 221 0.010000 0.009971 71.847911
